"","lon","lat"
"367",-70.216,-19.613
"368",-70.218,-19.615
"369",-70.218,-19.615
"370",-70.221,-19.612
"371",-70.223,-19.612
"372",-70.223,-19.612
"373",-70.223,-19.611
"374",-70.225,-19.609
"375",-70.225,-19.608
"376",-70.227,-19.606
"377",-70.228,-19.606
"378",-70.228,-19.605
"379",-70.229,-19.605
"380",-70.231,-19.604
"381",-70.232,-19.605
"382",-70.233,-19.605
"383",-70.235,-19.603
"384",-70.236,-19.603
"385",-70.237,-19.602
"386",-70.239,-19.602
"387",-70.24,-19.601
"388",-70.241,-19.601
"389",-70.241,-19.601
"390",-70.24,-19.6
"391",-70.241,-19.599
"392",-70.241,-19.598
"393",-70.24,-19.597
"394",-70.239,-19.597
"395",-70.238,-19.596
"396",-70.235,-19.596
"397",-70.234,-19.595
"398",-70.233,-19.595
"399",-70.233,-19.596
"400",-70.23,-19.596
"401",-70.229,-19.597
"402",-70.224,-19.597
"403",-70.223,-19.596
"404",-70.223,-19.596
"405",-70.222,-19.595
"406",-70.221,-19.595
"407",-70.22,-19.595
"408",-70.219,-19.595
"409",-70.218,-19.594
"410",-70.213,-19.594
"411",-70.207,-19.587
"412",-70.207,-19.584
"413",-70.206,-19.583
"414",-70.206,-19.582
"415",-70.207,-19.581
"416",-70.207,-19.579
"417",-70.206,-19.578
"418",-70.206,-19.577
"419",-70.207,-19.576
"420",-70.207,-19.574
"421",-70.206,-19.573
"422",-70.206,-19.573
"423",-70.205,-19.572
"424",-70.207,-19.57
"425",-70.207,-19.569
"426",-70.208,-19.568
"427",-70.208,-19.566
"428",-70.208,-19.565
"429",-70.211,-19.565
"430",-70.212,-19.565
"431",-70.213,-19.565
"432",-70.214,-19.564
"433",-70.215,-19.564
"434",-70.215,-19.563
"435",-70.215,-19.563
"436",-70.215,-19.562
"437",-70.215,-19.561
"438",-70.213,-19.559
"439",-70.212,-19.559
"440",-70.211,-19.558
"441",-70.21,-19.558
"442",-70.209,-19.557
"443",-70.208,-19.557
"444",-70.206,-19.556
"445",-70.206,-19.554
"446",-70.207,-19.553
"447",-70.207,-19.553
"448",-70.209,-19.551
"449",-70.209,-19.55
"450",-70.21,-19.549
"451",-70.21,-19.548
"452",-70.212,-19.546
"453",-70.212,-19.544
"454",-70.213,-19.543
"455",-70.213,-19.541
"456",-70.213,-19.54
"457",-70.212,-19.54
"458",-70.211,-19.54
"459",-70.211,-19.538
"460",-70.21,-19.538
"461",-70.21,-19.537
"462",-70.211,-19.536
"463",-70.211,-19.535
"464",-70.212,-19.534
"465",-70.212,-19.533
"466",-70.213,-19.533
"467",-70.212,-19.532
"468",-70.212,-19.531
"469",-70.213,-19.53
"470",-70.212,-19.529
"471",-70.213,-19.528
"472",-70.213,-19.528
"473",-70.212,-19.528
"474",-70.211,-19.527
"475",-70.21,-19.527
"476",-70.209,-19.528
"477",-70.209,-19.528
"478",-70.209,-19.527
"479",-70.206,-19.524
"480",-70.206,-19.523
"481",-70.204,-19.521
"482",-70.204,-19.513
"483",-70.205,-19.511
"484",-70.205,-19.51
"485",-70.207,-19.508
"486",-70.207,-19.507
"487",-70.206,-19.505
"488",-70.205,-19.505
"489",-70.205,-19.505
"490",-70.205,-19.503
"491",-70.204,-19.503
"492",-70.204,-19.501
"493",-70.205,-19.499
"494",-70.205,-19.498
"495",-70.205,-19.497
"496",-70.205,-19.495
"497",-70.206,-19.494
"498",-70.208,-19.494
"499",-70.209,-19.495
"500",-70.21,-19.495
"501",-70.211,-19.495
"502",-70.212,-19.495
"503",-70.212,-19.494
"504",-70.212,-19.493
"505",-70.213,-19.493
"506",-70.213,-19.491
"507",-70.212,-19.49
"508",-70.212,-19.488
"509",-70.214,-19.487
"510",-70.214,-19.486
"511",-70.213,-19.485
"512",-70.215,-19.483
"513",-70.215,-19.481
"514",-70.216,-19.479
"515",-70.216,-19.476
"516",-70.217,-19.475
"517",-70.217,-19.474
"518",-70.218,-19.473
"519",-70.218,-19.469
"520",-70.219,-19.468
"521",-70.219,-19.468
"522",-70.22,-19.467
"523",-70.22,-19.465
"524",-70.22,-19.464
"525",-70.22,-19.46
"526",-70.219,-19.459
"527",-70.218,-19.459
"528",-70.217,-19.458
"529",-70.217,-19.452
"530",-70.218,-19.451
"531",-70.218,-19.45
"532",-70.219,-19.449
"533",-70.219,-19.448
"534",-70.22,-19.448
"535",-70.22,-19.444
"536",-70.22,-19.444
"537",-70.221,-19.445
"538",-70.223,-19.445
"539",-70.223,-19.444
"540",-70.223,-19.443
"541",-70.225,-19.442
"542",-70.225,-19.441
"543",-70.225,-19.44
"544",-70.226,-19.44
"545",-70.227,-19.44
"546",-70.229,-19.44
"547",-70.23,-19.439
"548",-70.229,-19.438
"549",-70.229,-19.438
"550",-70.228,-19.437
"551",-70.228,-19.436
"552",-70.228,-19.435
"553",-70.227,-19.435
"554",-70.226,-19.435
"555",-70.226,-19.43
"556",-70.23,-19.427
"557",-70.23,-19.426
"558",-70.23,-19.425
"559",-70.23,-19.423
"560",-70.23,-19.422
"561",-70.23,-19.417
"562",-70.23,-19.416
"563",-70.23,-19.415
"564",-70.226,-19.411
"565",-70.226,-19.409
"566",-70.228,-19.408
"567",-70.228,-19.405
"568",-70.228,-19.405
"569",-70.229,-19.405
"570",-70.23,-19.404
"571",-70.231,-19.404
"572",-70.232,-19.403
"573",-70.237,-19.403
"574",-70.237,-19.403
"575",-70.237,-19.402
"576",-70.239,-19.4
"577",-70.239,-19.397
"578",-70.24,-19.396
"579",-70.24,-19.395
"580",-70.24,-19.394
"581",-70.24,-19.392
"582",-70.24,-19.391
"583",-70.24,-19.389
"584",-70.239,-19.388
"585",-70.239,-19.388
"586",-70.238,-19.387
"587",-70.238,-19.383
"588",-70.238,-19.383
"589",-70.239,-19.383
"590",-70.241,-19.381
"591",-70.241,-19.38
"592",-70.243,-19.378
"593",-70.243,-19.378
"594",-70.244,-19.377
"595",-70.244,-19.376
"596",-70.245,-19.375
"597",-70.245,-19.373
"598",-70.245,-19.373
"599",-70.245,-19.371
"600",-70.246,-19.37
"601",-70.247,-19.37
"602",-70.249,-19.368
"603",-70.249,-19.368
"604",-70.25,-19.366
"605",-70.25,-19.364
"606",-70.251,-19.364
"607",-70.252,-19.364
"608",-70.254,-19.361
"609",-70.255,-19.361
"610",-70.256,-19.36
"611",-70.256,-19.359
"612",-70.258,-19.358
"613",-70.258,-19.356
"614",-70.258,-19.355
"615",-70.259,-19.355
"616",-70.261,-19.354
"617",-70.262,-19.354
"618",-70.262,-19.353
"619",-70.262,-19.352
"620",-70.264,-19.351
"621",-70.264,-19.349
"622",-70.262,-19.348
"623",-70.262,-19.347
"624",-70.263,-19.346
"625",-70.263,-19.346
"626",-70.264,-19.346
"627",-70.264,-19.345
"628",-70.265,-19.344
"629",-70.265,-19.338
"630",-70.264,-19.338
"631",-70.263,-19.338
"632",-70.262,-19.34
"633",-70.261,-19.34
"634",-70.26,-19.339
"635",-70.26,-19.337
"636",-70.259,-19.335
"637",-70.258,-19.335
"638",-70.256,-19.333
"639",-70.256,-19.332
"640",-70.257,-19.331
"641",-70.257,-19.33
"642",-70.261,-19.326
"643",-70.263,-19.326
"644",-70.263,-19.325
"645",-70.265,-19.325
"646",-70.266,-19.325
"647",-70.267,-19.325
"648",-70.268,-19.323
"649",-70.268,-19.322
"650",-70.268,-19.322
"651",-70.269,-19.323
"652",-70.272,-19.323
"653",-70.275,-19.32
"654",-70.275,-19.319
"655",-70.275,-19.318
"656",-70.275,-19.317
"657",-70.278,-19.315
"658",-70.278,-19.315
"659",-70.279,-19.314
"660",-70.279,-19.313
"661",-70.28,-19.312
"662",-70.28,-19.311
"663",-70.282,-19.309
"664",-70.285,-19.309
"665",-70.286,-19.308
"666",-70.287,-19.308
"667",-70.287,-19.308
"668",-70.287,-19.307
"669",-70.285,-19.305
"670",-70.284,-19.305
"671",-70.281,-19.302
"672",-70.283,-19.3
"673",-70.282,-19.299
"674",-70.282,-19.297
"675",-70.282,-19.297
"676",-70.281,-19.297
"677",-70.28,-19.297
"678",-70.28,-19.296
"679",-70.28,-19.295
"680",-70.28,-19.294
"681",-70.28,-19.294
"682",-70.283,-19.294
"683",-70.284,-19.293
"684",-70.285,-19.293
"685",-70.286,-19.292
"686",-70.286,-19.288
"687",-70.285,-19.287
"688",-70.285,-19.286
"689",-70.286,-19.285
"690",-70.286,-19.283
"691",-70.287,-19.283
"692",-70.287,-19.28
"693",-70.286,-19.279
"694",-70.285,-19.279
"695",-70.284,-19.278
"696",-70.285,-19.277
"697",-70.285,-19.272
"698",-70.284,-19.271
"699",-70.284,-19.269
"700",-70.283,-19.268
"701",-70.283,-19.265
"702",-70.282,-19.264
"703",-70.282,-19.26
"704",-70.281,-19.259
"705",-70.281,-19.255
"706",-70.28,-19.254
"707",-70.281,-19.253
"708",-70.281,-19.253
"709",-70.282,-19.252
"710",-70.282,-19.246
"711",-70.283,-19.245
"712",-70.283,-19.243
"713",-70.282,-19.242
"714",-70.284,-19.24
"715",-70.284,-19.238
"716",-70.283,-19.237
"717",-70.283,-19.232
"718",-70.282,-19.232
"719",-70.283,-19.231
"720",-70.283,-19.23
"721",-70.284,-19.229
"722",-70.288,-19.229
"723",-70.288,-19.228
"724",-70.288,-19.226
"725",-70.286,-19.224
"726",-70.288,-19.223
"727",-70.288,-19.22
"728",-70.287,-19.219
"729",-70.287,-19.217
"730",-70.286,-19.217
"731",-70.286,-19.216
"732",-70.283,-19.212
"733",-70.28,-19.212
"734",-70.278,-19.21
"735",-70.278,-19.21
"736",-70.276,-19.209
"737",-70.276,-19.208
"738",-70.275,-19.208
"739",-70.275,-19.207
"740",-70.275,-19.206
